#Chart Recorder Data File Fri, Nov 10, 2017 12:19 PM
#CH1 (V)  	CH2 (V)  
-0.094259939	5.933662890
-0.094259939	5.933031024
-0.093940764	5.930819493
-0.093621589	5.931451359
-0.093940764	5.931767292
-0.093302414	5.930503560
-0.092664064	5.931767292
-0.093302414	5.931451359
-0.093621589	5.931767292
-0.093621589	5.932083225
-0.093302414	5.932083225
-0.093621589	5.931451359
-0.093940764	5.931767292
-0.094259939	5.931451359
-0.093940764	5.931451359
-0.094259939	5.931451359
-0.093940764	5.931135426
-0.094259939	5.931451359
-0.094259939	5.931451359
-0.094898289	5.931451359
-0.095217464	5.932083225
-0.094259939	5.930819493
-0.093621589	5.933031024
-0.093621589	5.932083225
-0.093940764	5.932083225
-0.094259939	5.931767292
-0.093621589	5.932399158
-0.093940764	5.931135426
-0.093940764	5.931767292
-0.094259939	5.932083225
-0.093302414	5.931767292
-0.093940764	5.933031024
-0.092664064	5.933662890
-0.093302414	5.933346957
-0.093302414	5.933346957
-0.092983239	5.933031024
-0.093302414	5.933346957
-0.093621589	5.933346957
-0.093621589	5.933031024
-0.093302414	5.932715091
-0.093621589	5.933346957
-0.093621589	5.933346957
-0.093940764	5.932715091
-0.093621589	5.932083225
-0.093940764	5.932715091
-0.092983239	5.932715091
-0.093302414	5.932083225
-0.092983239	5.932399158
-0.092983239	5.932715091
-0.092983239	5.933031024
-0.092664064	5.933346957
-0.092664064	5.933031024
-0.092983239	5.932083225
-0.092983239	5.932399158
-0.092983239	5.932399158
-0.093940764	5.932083225
-0.093621589	5.932399158
-0.092344889	5.932715091
-0.092664064	5.931767292
-0.092664064	5.932083225
-0.092664064	5.932399158
-0.092664064	5.931767292
-0.093302414	5.931451359
-0.093302414	5.931767292
-0.093940764	5.931135426
-0.093940764	5.932083225
-0.092664064	5.932083225
-0.093621589	5.932083225
-0.093940764	5.931767292
-0.092664064	5.931767292
-0.092664064	5.931767292
-0.092664064	5.932083225
-0.092983239	5.930819493
-0.092664064	5.931451359
-0.093302414	5.930503560
-0.092983239	5.931767292
-0.092983239	5.931135426
-0.092664064	5.930819493
-0.092983239	5.931135426
-0.092664064	5.931135426
-0.092344889	5.931135426
-0.092983239	5.931135426
-0.092664064	5.932083225
-0.092664064	5.931767292
-0.092344889	5.932083225
-0.092983239	5.931767292
-0.093302414	5.931767292
-0.092664064	5.931767292
-0.092664064	5.931767292
-0.092025714	5.932083225
-0.092664064	5.932083225
-0.092344889	5.931135426
-0.092025714	5.933031024
-0.092344889	5.932399158
-0.092344889	5.932715091
-0.092983239	5.932083225
-0.092664064	5.932399158
-0.092344889	5.932083225
-0.092983239	5.932399158
-0.092983239	5.932083225
-0.092344889	5.932083225
-0.092344889	5.932083225
-0.091706539	5.932083225
-0.092664064	5.931135426
-0.092664064	5.931767292
-0.092664064	5.931767292
-0.092983239	5.931451359
-0.092344889	5.932399158
-0.093302414	5.931767292
-0.092664064	5.931767292
-0.092344889	5.932083225
-0.091387364	5.932715091
-0.092025714	5.931451359
-0.092025714	5.931767292
-0.091706539	5.931135426
-0.092344889	5.931767292
-0.091706539	5.931451359
-0.091387364	5.932083225
-0.091706539	5.932083225
-0.091706539	5.931451359
-0.092025714	5.931451359
-0.091387364	5.931135426
-0.092025714	5.931767292
-0.091068189	5.931767292
-0.091387364	5.931767292
-0.091387364	5.931767292
-0.091387364	5.932083225
-0.091387364	5.931767292
-0.091387364	5.931451359
-0.091387364	5.931767292
-0.091706539	5.931767292
-0.091387364	5.932399158
-0.090749014	5.931767292
-0.091387364	5.932715091
-0.091068189	5.931451359
-0.090749014	5.931451359
-0.091387364	5.932083225
-0.091706539	5.931767292
-0.091068189	5.932399158
-0.091387364	5.932083225
-0.091387364	5.933031024
-0.091706539	5.931767292
-0.091706539	5.932083225
-0.091706539	5.931451359
-0.091068189	5.931767292
-0.091068189	5.931767292
-0.091387364	5.931767292
-0.091068189	5.931451359
-0.091387364	5.931451359
-0.091387364	5.931767292
-0.091387364	5.930819493
-0.091068189	5.931451359
-0.090749014	5.931451359
-0.090429839	5.932083225
-0.091068189	5.932083225
-0.090429839	5.932399158
-0.090429839	5.930819493
-0.091068189	5.931451359
-0.090429839	5.931451359
-0.090749014	5.931451359
-0.090110664	5.931451359
-0.090110664	5.931767292
-0.090429839	5.930503560
-0.090429839	5.929871694
-0.090110664	5.929871694
-0.090749014	5.929871694
-0.090429839	5.929555761
-0.091068189	5.929555761
-0.091068189	5.929239828
-0.090749014	5.929871694
-0.091068189	5.930503560
-0.090749014	5.929555761
-0.090429839	5.928607962
-0.090429839	5.929239828
-0.090429839	5.928923895
-0.090749014	5.929239828
-0.090110664	5.929239828
-0.090110664	5.929239828
-0.089791489	5.929555761
-0.090429839	5.929871694
-0.090110664	5.929555761
-0.091068189	5.928923895
-0.090749014	5.929555761
-0.090429839	5.928923895
-0.090429839	5.929871694
-0.089791489	5.929555761
-0.090110664	5.929239828
-0.089153139	5.930187627
-0.090429839	5.929555761
-0.090110664	5.929871694
-0.090110664	5.929555761
-0.090110664	5.928607962
-0.090749014	5.929555761
-0.090110664	5.929555761
-0.090110664	5.929555761
-0.090429839	5.929555761
-0.090110664	5.929871694
-0.090110664	5.929239828
-0.090429839	5.929239828
-0.089791489	5.929555761
-0.090429839	5.929871694
-0.089472314	5.930187627
-0.090110664	5.928607962
-0.089791489	5.928923895
-0.089153139	5.929239828
-0.090110664	5.929555761
-0.090110664	5.929871694
-0.090429839	5.929555761
-0.090110664	5.930187627
-0.089472314	5.929239828
-0.090110664	5.930187627
-0.090429839	5.929239828
-0.089472314	5.928292029
-0.090110664	5.927976096
-0.090110664	5.927976096
-0.090110664	5.928607962
-0.089153139	5.927976096
-0.089153139	5.927344230
-0.089153139	5.928292029
-0.088833964	5.928607962
-0.088833964	5.928292029
-0.088833964	5.928607962
-0.089472314	5.928607962
-0.089153139	5.928923895
-0.090110664	5.928607962
-0.088833964	5.929239828
-0.089791489	5.928607962
-0.088514789	5.928607962
-0.089153139	5.928607962
-0.089153139	5.928292029
-0.088833964	5.928292029
-0.089153139	5.928923895
-0.089153139	5.928292029
-0.088833964	5.927028297
-0.089153139	5.927660163
-0.089791489	5.927976096
-0.089153139	5.928292029
-0.088833964	5.928292029
-0.088514789	5.927976096
-0.088833964	5.928607962
-0.088514789	5.928607962
-0.087876439	5.928292029
-0.088514789	5.925764565
-0.088833964	5.926396431
-0.089153139	5.925764565
-0.088833964	5.926080498
-0.089791489	5.925448632
-0.089153139	5.925448632
-0.090110664	5.926396431
-0.089472314	5.926712364
-0.089153139	5.926396431
-0.089153139	5.926080498
-0.088514789	5.925448632
-0.088514789	5.925448632
-0.088514789	5.926080498
-0.088833964	5.925132699
-0.088514789	5.925132699
-0.089153139	5.925132699
-0.089153139	5.925448632
-0.088514789	5.925448632
-0.089153139	5.925132699
-0.089153139	5.925764565
-0.087876439	5.925132699
-0.088195614	5.925448632
-0.088833964	5.924816766
-0.088514789	5.925132699
-0.088514789	5.925764565
-0.088195614	5.925132699
-0.088195614	5.925132699
-0.088195614	5.925448632
-0.087876439	5.925132699
-0.087876439	5.924500833
-0.088514789	5.925764565
-0.088514789	5.925448632
-0.088195614	5.926080498
-0.088195614	5.925448632
-0.088514789	5.925764565
-0.088833964	5.925448632
-0.088514789	5.925132699
-0.089153139	5.925448632
-0.088833964	5.925132699
-0.089153139	5.925132699
-0.088514789	5.924816766
-0.088514789	5.924500833
-0.088833964	5.924816766
-0.088514789	5.924500833
-0.088514789	5.924816766
-0.088833964	5.924184900
-0.089153139	5.924500833
-0.088833964	5.924500833
-0.089472314	5.924500833
-0.089153139	5.924184900
-0.088514789	5.923553034
-0.088514789	5.923553034
-0.088514789	5.924184900
-0.088514789	5.923868967
-0.089153139	5.924816766
-0.088514789	5.924184900
-0.088514789	5.924816766
