#Chart Recorder Data File Tue, Nov 14, 2017 12:19 PM
#CH1 (V)  	CH2 (V)  
-0.089791489	5.974102314
-0.090110664	5.973786381
-0.090110664	5.973786381
-0.090110664	5.974102314
-0.090429839	5.974102314
-0.089791489	5.973786381
-0.089472314	5.973470448
-0.089472314	5.973154515
-0.090429839	5.973786381
-0.090110664	5.973470448
-0.089791489	5.973470448
-0.090110664	5.974102314
-0.089791489	5.973786381
-0.089472314	5.974102314
-0.089472314	5.972838582
-0.089472314	5.973154515
-0.089153139	5.972838582
-0.090110664	5.973154515
-0.089153139	5.972838582
-0.089153139	5.972522649
-0.089153139	5.972838582
-0.089472314	5.973154515
-0.089472314	5.972522649
-0.089153139	5.973154515
-0.090110664	5.972838582
-0.089791489	5.973470448
-0.089153139	5.972838582
-0.089791489	5.971890783
-0.090110664	5.972522649
-0.088833964	5.972838582
-0.089472314	5.972522649
-0.089791489	5.972522649
-0.089153139	5.973154515
-0.090110664	5.972838582
-0.089153139	5.972522649
-0.090110664	5.972522649
-0.089472314	5.972838582
-0.089153139	5.971890783
-0.089153139	5.972838582
-0.090110664	5.972522649
-0.089791489	5.972838582
-0.089153139	5.972522649
-0.089791489	5.972838582
-0.089791489	5.972522649
-0.089153139	5.972838582
-0.088833964	5.972838582
-0.088833964	5.973154515
-0.088195614	5.972522649
-0.089153139	5.973154515
-0.089472314	5.972206716
-0.089153139	5.972206716
-0.089153139	5.971890783
-0.089472314	5.971574850
-0.090110664	5.972206716
-0.089791489	5.971890783
-0.088195614	5.971890783
-0.087876439	5.972206716
-0.088195614	5.972206716
-0.088514789	5.971890783
-0.089153139	5.971890783
-0.088195614	5.972206716
-0.088195614	5.971890783
-0.088514789	5.972522649
-0.088833964	5.972206716
-0.088514789	5.971890783
-0.088514789	5.971890783
-0.087876439	5.971890783
-0.087876439	5.972522649
-0.088514789	5.972522649
-0.087876439	5.972206716
-0.088514789	5.972838582
-0.088514789	5.972838582
-0.088833964	5.972206716
-0.087557264	5.972206716
-0.088514789	5.971574850
-0.088833964	5.972206716
-0.087876439	5.970942984
-0.088195614	5.971258917
-0.088195614	5.971258917
-0.088514789	5.971890783
-0.088195614	5.971258917
-0.088833964	5.971890783
-0.088195614	5.971258917
-0.087876439	5.971574850
-0.087876439	5.971258917
-0.088195614	5.972522649
-0.087238089	5.971574850
-0.087238089	5.970311118
-0.087876439	5.970311118
-0.087876439	5.969995185
-0.087876439	5.969995185
-0.087557264	5.970311118
-0.088833964	5.970627051
-0.087876439	5.970942984
-0.087557264	5.970627051
-0.088195614	5.970627051
-0.087557264	5.971258917
-0.087557264	5.970942984
-0.087238089	5.970942984
-0.087876439	5.971258917
-0.087557264	5.971574850
-0.087557264	5.970942984
-0.087238089	5.971574850
-0.087238089	5.971258917
-0.086918914	5.971890783
-0.086599739	5.969995185
-0.086599739	5.970942984
-0.086280564	5.970311118
-0.086599739	5.970311118
-0.086280564	5.970311118
-0.086280564	5.970627051
-0.086280564	5.970311118
-0.085961389	5.970311118
